LANG,ZONE,BP_NAME,SUBJ/OBJ,CONSTRUCTIONS,GROUP,VERB,PF/IMPF,CLASS,CLUSTER,NUM,DO/IO,PREP,CASE
RUS,UPPER LIMB,рука,OBJ,мыть руки,A,мыть,IMPF,WASH,OTHER,PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,раскинуть руки,B,раскинуть,PF,MOVEM,MOVEM,PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,связать руки,B,связать,PF,WRAP,MOVEM,PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,заламывать руки,C,заламывать,IMPF,WRAP,MOVEM,PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,пачкать руки,A,пачкать,IMPF,DIRTY,OTHER,PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,размахивать руками,B,размахивать,IMPF,MOVEM,MOVEM,PL,DO,-,INSTR
RUS,UPPER LIMB,рука,OBJ,показать рукой,B,показать,PF,SHOW,MOVEM,SG,DO,-,INSTR
RUS,UPPER LIMB,рука,OBJ,махнуть рукой,C,махнуть,PF,MOVEM,MOVEM,SG,DO,-,INSTR
RUS,UPPER LIMB,рука,OBJ,дотянуться рукой,B,дотянуться,PF,MOVEM,MOVEM,SG,DO,-,INSTR
RUS,UPPER LIMB,рука,OBJ,вскинуть руку,B,вскинуть,PF,UP,MOVEM,SG,DO,-,ACC
RUS,UPPER LIMB,рука,SUBJ,рука / руки дрожать,B,дрожать,IMPF,SHAKE,MOVEM,SG/PL,DO,-,NOM
RUS,UPPER LIMB,рука,OBJ,вынимать руку / руки,B,вынимать,IMPF,OUT,MOVEM,SG/PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,целовать руку / руки,A,целовать,IMPF,TOUCH,SENSE,SG/PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,сжать руку / руки,A,сжать,PF,TOUCH,SENSE,SG/PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,махать рукой / руками,B,махать,IMPF,MOVEM,MOVEM,SG/PL,DO,-,INSTR
RUS,UPPER LIMB,рука,OBJ,помахать рукой / руками,B,помахать,PF,MOVEM,MOVEM,SG/PL,DO,-,INSTR
RUS,UPPER LIMB,рука,SUBJ,руки доходить,IDIOM,доходить,IMPF,IDIOM,IDIOM,PL,IO,-,NOM
RUS,UPPER LIMB,рука,SUBJ,руки слушаться,IDIOM,слушаться,IMPF,IDIOM,IDIOM,PL,DO,-,NOM
RUS,UPPER LIMB,рука,OBJ,протянуть руку ,IDIOM,протянуть,PF,IDIOM,IDIOM,SG,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,потирать руки,IDIOM,потирать,IMPF,IDIOM,IDIOM,PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,умывать руки,IDIOM,умывать,IMPF,IDIOM,IDIOM,PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,наложить руки,IDIOM,наложить,PF,IDIOM,IDIOM,PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,запачкать руки,IDIOM,запачкать,PF,IDIOM,IDIOM,PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,разводить руками,IDIOM,разводить,IMPF,IDIOM,IDIOM,PL,DO,-,INSTR
RUS,UPPER LIMB,рука,OBJ,всплеснуть руками,IDIOM,всплеснуть,PF,IDIOM,IDIOM,PL,DO,-,INSTR
RUS,UPPER LIMB,рука,OBJ,протянуть руку,B,протянуть,PF,MOVEM,MOVEM,SG,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,потирать руки,C,потирать,IMPF,MOVEM,MOVEM,PL,DO,-,ACC
RUS,UPPER LIMB,рука,OBJ,разводить руками,B,разводить,IMPF,MOVEM,MOVEM,PL,DO,-,INSTR
RUS,UPPER LIMB,рука,OBJ,взять на руки,C,взять,PF,CARRY,PLACE,PL,IO,на,ACC
